"id","sex","sterilized","birth_date","flagged_deceased_date","region","environ","origin","size","breed1","breed2","purebred","owner_breed","reg_breed","regseq_breed","geno_wgs","geno_axiom","geno_lowpass","other_population","owner_label","responses","response_rate","mutt","cand","conf","consensus_breed"
3,"female","yes",2010-10-28,NA,"Northeast (New England)","suburban","breeder",1,"boston terrier",NA,"yes","boston terrier","boston terrier","boston terrier",FALSE,TRUE,FALSE,NA,NA,118,1,FALSE,TRUE,TRUE,"boston terrier"
4,"male","yes",2003-01-01,NA,NA,NA,"shelter",2,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,115,0.974576271186441,TRUE,FALSE,FALSE,NA
5,"male","yes",2005-01-01,NA,NA,NA,"other",2,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,8,0.0677966101694915,TRUE,FALSE,FALSE,NA
6,"male","yes",2012-01-01,NA,NA,NA,"rescue",2,"labrador retriever",NA,NA,"labrador retriever",NA,NA,FALSE,FALSE,FALSE,NA,NA,118,1,FALSE,TRUE,FALSE,"labrador retriever"
7,"female","yes",2014-01-01,NA,"Northeast (New England)","urban","rescue",3,"border collie","golden retriever",NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,118,1,TRUE,FALSE,FALSE,NA
8,"male","yes",2014-06-17,NA,"Northeast (New England)","urban","breeder",2,"shiba inu",NA,"yes","shiba inu","shiba inu","shiba inu",FALSE,TRUE,FALSE,NA,NA,118,1,FALSE,TRUE,TRUE,"shiba inu"
9,"female","yes",2013-05-01,NA,"Northeast (New England)","urban","rescue",2,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,118,1,TRUE,FALSE,FALSE,NA
10,"female","yes",2013-01-01,NA,NA,NA,"other",4,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,116,0.983050847457627,TRUE,FALSE,FALSE,NA
11,"female","yes",2012-01-01,NA,NA,NA,"rescue",2,NA,NA,"no",NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,108,0.915254237288136,TRUE,FALSE,FALSE,NA
12,"female","yes",2012-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,10,0.0847457627118644,TRUE,FALSE,FALSE,NA
13,"male","yes",2010-01-01,NA,NA,NA,"rescue",3,"flat-coated retriever","german shepherd dog",NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,118,1,TRUE,FALSE,FALSE,NA
